		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
001000011  242  230  258  245  231  231  243  240  3.220399 0.919774 SUCCESS  30
001000101  250  250  214  221  225  223  261  267 13.266605 0.103000 SUCCESS  31
001000111  241  240  268  253  249  248  229  264  5.669195 0.684231 SUCCESS  32
001001011  247  298  262  228  223  221  254  256 19.954189 0.010511 SUCCESS  33
001001101  251  228  251  249  230  247  242  274  6.283512 0.615507 SUCCESS  34
001001111  239  244  271  228  274  216  245  212 15.781069 0.045623 SUCCESS  35
001010011  249  242  223  245  257  275  244  248  6.818392 0.556348 SUCCESS  36
001010101  254  241  221  262  243  235  252  229  5.663899 0.684822 SUCCESS  37
001010111  233  229  230  214  218  241  226  231 11.238299 0.188559 SUCCESS  38
001011011  263  238  235  221  263  221  250  253  8.541658 0.382422 SUCCESS  39
001011101  249  246  242  229  245  243  239  241  1.265176 0.995955 SUCCESS  40
001011111  262  246  256  224  251  233  244  225  5.956229 0.652135 SUCCESS  41
001100101  257  230  256  251  246  272  240  244  5.724272 0.678086 SUCCESS  42
001100111  221  254  234  235  243  219  251  213 10.450278 0.234833 SUCCESS  43
001101011  250  241  280  261  266  236  249  233  9.778766 0.280898 SUCCESS  44
001101101  225  237  242  271  257  260  236  235  7.246296 0.510307 SUCCESS  45
001101111  238  242  232  246  222  242  242  271  5.988004 0.648576 SUCCESS  46
001110101  214  247  224  275  259  234  281  252 17.029827 0.029800 SUCCESS  47
001110111  250  251  231  222  254  243  264  218  8.133878 0.420503 SUCCESS  48
001111011  249  239  248  245  253  232  250  244  1.381684 0.994503 SUCCESS  49
001111101  259  261  246  219  240  244  242  223  6.815214 0.556695 SUCCESS  50
001111111  247  223  259  244  242  272  238  207 12.172485 0.143672 SUCCESS  51
010000011  238  218  293  251  237  282  225  261 22.419932 0.004195 FAILURE  52
010000111  237  265  238  256  265  259  246  258  6.431796 0.598982 SUCCESS  53
010001011  249  256  222  229  236  214  258  241  8.722775 0.366219 SUCCESS  54
010001111  230  222  288  256  260  256  218  244 16.229097 0.039216 SUCCESS  55
010010011  248  246  239  270  257  248  256  247  4.424673 0.816921 SUCCESS  56
010010111  261  256  260  238  223  219  249  242  7.715507 0.461742 SUCCESS  57
010011011  241  246  220  274  227  236  247  233  8.384901 0.396803 SUCCESS  58
010011111  226  245  248  237  249  250  236  228  3.301955 0.914005 SUCCESS  59
010100011  253  236  228  252  260  257  233  244  4.272153 0.831772 SUCCESS  60
010100111  257  251  227  258  247  249  253  258  4.245674 0.834305 SUCCESS  61
010101011  254  222  220  261  225  237  241  248  8.029021 0.430640 SUCCESS  62
010101111  233  245  244  229  216  262  233  241  6.767552 0.561907 SUCCESS  63
010110011  221  231  226  212  263  216  260  241 14.729315 0.064627 SUCCESS  64
010110111  254  270  239  240  253  236  251  232  4.869523 0.771426 SUCCESS  65
